dataset,checkpoint,split,scope,client_id,count,mean,std,min,p50,p90,p95,p99,max,checkpoint_file,config
IEEE_CIS_FRAUD,best_checkpoint,clean_test,remaining_client_positions,1,1963,30.7339,153.674,0.00298052,6.28073,36.172,77.378,260.022,3035.52,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,best_checkpoint,clean_test,all_client_positions,2,12398,1064.79,10232.4,0.000116012,23.1628,79.1095,733.04,15215.5,137475,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,best_checkpoint,clean_test,remaining_client_positions,2,2121,279.184,5964.52,0.000823044,4.67455,43.9446,69.9982,204.217,137475,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,best_checkpoint,poison_test,all_client_positions,all,37194,9611.59,79669.7,0.000338464,69.4125,34408.9,37482.9,97725.7,1.07466e+07,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,best_checkpoint,poison_test,remaining_client_positions,all,18193,2036.21,19083.3,0.000338464,25.0788,701.925,2841.28,39277.5,679976,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,best_checkpoint,poison_test,all_client_positions,0,12398,6084.04,134339,0.000677901,88.0504,2788.16,10249.9,101536,1.07466e+07,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,best_checkpoint,poison_test,remaining_client_positions,0,7975,4260.36,28316.3,0.000677901,96.7488,3147.83,11190.2,99489.8,679976,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,best_checkpoint,poison_test,all_client_positions,1,12398,178.381,726.832,0.000338464,25.0788,234.108,860.558,3240.28,20716.7,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,best_checkpoint,poison_test,remaining_client_positions,1,8985,53.5118,147.194,0.000338464,25.0788,147.861,230.584,469.912,4894.2,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,best_checkpoint,poison_test,all_client_positions,2,12398,22572.3,26923.5,0.000823044,20945,38164.1,66424.7,120668,629299,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,best_checkpoint,poison_test,remaining_client_positions,2,1233,2098.64,11248.5,0.000823044,9.31442,72.0398,6668.67,37482.9,137475,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
